All,Tous
"We can't update the items right now.","Nous ne pouvons pas mettre à jour les articles maintenant."
"We can't order the quote right now because of an error: %1.","Nous ne pouvons pas commander le devis maintenant en raison d'une erreur : %1."
"We can't order the quote right now.","Nous ne pouvons pas commander le devis maintenant."
Quote,Devis
"This quote will be charged in %1. The prices are given in %2 as reference only.","Ce devis sera facturé en %1. Les prix sont donnés en %2 seulement pour référence."
"We can't send the quote right now because of an error: %1.","Nous ne pouvons pas envoyer le devis maintenant à cause d'une erreur : %1."
"We can't send the quote right now.","Nous ne pouvons pas envoyer le devis maintenant."
"Cannot obtain the requested data. You must fix the errors listed below first.","Impossible d'obtenir les données demandées. Vous devez d'abord corriger les erreurs ci-dessous."
"Requested attachment is not found. Row ID: %fieldName = %fieldValue","La pièce jointe demandée est introuvable. Identifiant de la ligne : %fieldName = %fieldValue"
"Requested quote is not found. Row ID: %fieldName = %fieldValue","Le devis demandé est introuvable. identifiant de la ligne : %fieldName = %fieldValue"
"There was an error saving comment.","Il a eu une erreur pendant l'enregistrement du commentaire."
"Cannot delete comment with id %1","Impossible de supprimer le commentaire ayant l'identifiant %1"
"There was an error saving company quote config.","Un erreur est survenue en enregistrant la configuration du devis de la société."
" - deleted"," - supprimé"
"Product with ID #%1 is deleted","Le produit avec l'identifiant n° %1 est supprimé"
"There was an error saving history log.","Il a eu une erreur en enregistrant le journal historique."
"There was an error during updating history log.","Il a eu une erreur durant la mise à jour du journal historique."
"Could not save history log","Impossible de sauvegarder le journal historique"
"Cannot delete history log with id %1","Impossible de supprimer le journal historique ayant l'identifiant %1"
"There was an error saving negotiable quote item.","Un erreur est survenue en enregistrant un article négociable du devis."
"Cannot send a B2B quote.","Impossible d'envoyer un devis B2B."
"Cannot create a B2B quote.","Impossible de créer un devis B2B."
"Changes to the negotiated quote were not saved. Please try again.","Des changements du devis négocié n'ont pas été enregistrés. Veuillez réessayer."
"Cannot delete negotiable quote","Impossible de supprimer le devis négociable"
"Shipping method cannot be set for a virtual quote.","Un mode de livraison ne peut être défini pour un devis virtuel."
"Cannot add the shipping method. You must add a shipping address into the quote first.","Impossible d'ajouter le mode de livraison. Vous devez d'abord ajouter une adresse de livraison dans le devis."
"Requested shipping method is not found. Row ID: ShippingMethodID = %ShippingMethodID.","Le mode de livraison demandé est introuvable. Identifiant de la ligne: ShippingMethodID = %ShippingMethodID."
"Product with SKU %1 not found","Le produit portant la REF %1 est introuvable"
"Negotiated quote not found.","Devis négocié introuvable."
"Catalog Price: ","Prix catalogue : "
"Quote Discount","Remise de devis"
"Discount amount: ","Montant de la remise : "
"Cart Price: ","Prix du panier : "
"Unable to update shipping address","Impossible de mettre à jour l'adresse de livraison"
"Cannot save removed quote item notification","Impossible d'enregistrer la notification d'élément de devis supprimé"
"Only for use within frontend area","Seulement pour utilisation dans la partie boutique"
"There is an error while saving comment.","Il y a une erreur pendant l'enregistrement du commentaire."
"Cannot save comment:\n%1","Impossible d’enregistrer le commentaire : \n%1"
discount,remise
"%1 - deleted","%1 - supprimé"
"Cart rule deleted.","Règle du panier supprimée."
"Products %1","Produits %1"
"Client reviewed","Client examiné"
Submitted,Soumis
Declined,Refusé
Closed,Fermé
"Catalog prices have changed, and you may want to review the offer. Details about the changes are available in the History Log.","Les prix du catalogue ont changé et vous voudrez peut-être revoir l'offre. Les détails sur les modifications sont disponibles dans le journal historique."
"The discount has changed for this quote. Check the History Log for details.","La remise a changé pour ce devis. Consultez le journal historique pour plus de détails."
"The discount for this quote has been removed because the buyer has reached the maximum number of attempts to request a discount. You may want to review the offer amount.","La remise associée à cette offre a été supprimée car l'acheteur a atteint le nombre maximal de tentatives de demande de remise. Vous voudrez peut-être revoir le montant de l'offre."
"The discount for this quote has been removed because the cart rule has been deleted. You may want to review the offer amount.","La remise pour ce devis a été supprimée car la règle du panier a été supprimée. Vous voudrez peut-être revoir le montant de l'offre."
"Quote taxes have been recalculated because the buyer added or changed the shipping address. You may want to review the offer amount.","Les taxes sur le devis ont été recalculées car l'acheteur a ajouté ou modifié l'adresse de livraison. Vous voudrez peut-être revoir le montant de l'offre."
"Buyer added or changed the shipping address. You may want to offer the shipping price or / and review the offer amount.","L'acheteur a ajouté ou modifié l'adresse de livraison. Vous voudrez peut-être proposer le prix de l'expédition et / ou revoir le montant de l'offre."
"has been deleted from the catalog, so the items quoted list has been updated.","a été supprimé du catalogue, ainsi la liste des articles du devis a été mise à jour."
"have been deleted from the catalog, so the items quoted list has been updated.","ont été supprimés du catalogue, ainsi la liste des articles du devis a été mise à jour."
"has been deleted from the quote. You may want to review the offer amount.","a été supprimé du devis. Vous aimerez peut-être revoir le montant de l'offre."
"has been deleted from the catalog. The items quoted list has been updated.","a été supprimé du catalogue. La liste des articles du devis a été mise à jour."
"have been deleted from the quote. You may want to review the offer amount.","ont été supprimés du devis. Vous aimerez peut-être revoir le montant de l'offre."
"have been deleted from the catalog. The items quoted list has been updated.","ont été supprimés du catalogue. La liste des articles du devis a été mise à jour."
"Catalog prices have changed. You may want to re-submit this quote. Details about the changes are available in the History Log.","Les prix du catalogue ont changé. Vous voudrez peut-être soumettre à nouveau cet devis. Les détails sur les modifications sont disponibles dans le journal de l'historique."
"The discount for this quote has been removed because you have already used your discount on previous orders. Please re-submit the quote to the Seller for further negotiation.","La remise pour ce devis a été supprimée car vous avez déjà utilisé votre remise sur des commandes précédentes. Veuillez soumettre à nouveau le devis au vendeur pour poursuivre les négociations."
"The discount is no longer valid for this quote, and the prices have been updated. Please re-submit the quote to the Seller for further negotiation.","La remise n'est plus valable pour ce devis et les prix ont été mis à jour. Veuillez soumettre à nouveau le devis au vendeur pour poursuivre les négociations."
"Quote taxes have been recalculated because you have added or changed the shipping address. The negotiated price is no longer valid. Please re-submit the quote to Seller.","Les taxes du devis ont été recalculées car vous avez ajouté ou modifié l'adresse de livraison. Le prix négocié n'est plus valide. Veuillez soumettre à nouveau le devis au vendeur."
"You have added or changed the shipping address on this quote. Please re-submit the quote to Seller.","Vous avez ajouté ou modifié l'adresse de livraison sur ce devis. Veuillez soumettre à nouveau le devis au vendeur."
"is no longer available in catalog. It was removed from your quote.","n'est plus disponible dans le catalogue. Il a été supprimé de votre devis."
"are no longer available in catalog. They were removed from your quote.","ne sont plus disponibles dans le catalogue. Ils ont été supprimés de votre devis."
"is no longer available. It was removed from your quote.","n'est plus disponible. Il a été supprimé de votre devis."
"are no longer available. They were removed from your quote.","ne sont plus disponibles. Ils ont été supprimés de votre devis."
"The quote %quoteId is currently locked, and you cannot place an order from it at the moment.","Le devis n° %quoteId est actuellement verrouillé et vous ne pouvez pas passer une commande à partir de lui maintenant."
"The quote %quoteId is currently locked and cannot be closed.","Le devis n° %quoteId est actuellement verrouillé et ne peut pas être clos."
"Invalid attribute %fieldName: Cannot create a B2B Quote for an individual user. The user must be a company member. Row ID: %fieldName = %fieldValue","Attribut incorrect %fieldName : impossible de créer un devis B2B pour un utilisateur individuel. L'utilisateur doit appartenir à une société. Ligne : %fieldName = %fieldValue"
"Invalid attribute %fieldName: Quoting is not allowed for this company. Row ID: %fieldName = %fieldValue","Attribut incorrect %fieldName : impossible de faire des devis pour cette société. Ligne : %fieldName = %fieldValue"
"The quote %quoteId is currently locked and cannot be declined.","Le devis %quoteId est actuellement verrouillé et ne peut pas être refusé."
"The quote %quoteId is currently locked and cannot be updated. Please check the quote status.","Le devis %quoteId est actuellement verrouillé et ne peut être mis à jour. Veuillez vérifier le statut du devis."
"The expiration date is in the wrong format. The correct format is %dateformat.","La date d'expiration a un format incorrect. Le format correct est %dateformat."
"Cannot update the expiration date. You must specify today's date or a future date.","Impossible de mettre à jour la date d'expiration. Vous devez spécifier la date du jour ou une date future."
"Cannot create the B2B quote. You cannot attach more than ten files per one request.","Impossible de créer le devis B2B. Vous ne pouvez pas joindre plus de dix fichiers par demande."
"%fileType is not an allowed file type. Please select a different file.","%fileType n'est pas un type de fichier autorisé. Veuillez sélectionner un autre fichier."
"The maximum file name length is 20 characters. The only special symbols that are allowed in the file name are: dash and underscore. Row ID: %fieldName = %fieldValue","La longueur maximale du nom de fichier est de 20 caractères. Les seuls symboles spéciaux autorisés dans le nom de fichier sont les suivants : tiret et trait de soulignement. Identifiant de ligne : %fieldName = %fieldValue"
"Cannot attach the file %filename. The maximum allowed file size is %size Mb.","Impossible de joindre le fichier %filename. La taille de fichier maximale autorisée est de %size Mo."
"Invalid attribute value. Row ID: %fieldName = %fieldValue","Valeur d'attribut invalide. Identifiant de ligne : %fieldName = %fieldValue"
"Invalid attribute value. The price must be NULL, 0 or a positive number. Row ID: %fieldName = %fieldValue","Valeur d'attribut non valide. Le prix doit être NULL, 0 ou un nombre positif. Identifiant de ligne : %fieldName = %fieldValue"
"You cannot update the quote status.","Vous ne pouvez pas mettre à jour le statut du devis."
"Invalid attribute %fieldName: A B2B quote for this quoteID already exists. Row ID: %fieldName = %fieldValue","Attribut non valide %fieldName : Un devis B2B pour cet identifiant de devis existe déjà. Identifiant de ligne : %fieldName = %fieldValue"
"Cannot create a B2B quote. You must provide one or more quote items.","Impossible de créer un devis B2B. Vous devez fournir un ou plusieurs articles de devis."
"'Cannot create the B2B quote.' .","'Impossible de créer le devis B2B.' ."
"Cannot create the B2B quote. The minimum order for a quote request is %currency%amount","Impossible de créer le devis B2B. La commande minimale pour une demande de devis est de %currency %amount"
"The quote %quoteId is currently locked and cannot be submitted to the customer. Please check the quote status.","Le devis %quoteId est actuellement verrouillé et ne peut pas être soumis au client. Veuillez vérifier le statut du devis."
"Cannot delete all items from a B2B quote. The quote must contain at least one item.","Impossible de supprimer tous les articles d'un devis B2B. Le devis doit contenir au moins un article."
"Cannot set the shipping price. You must select a shipping method first.","Impossible de définir le prix de la livraison. Vous devez d'abord sélectionner une méthode de livraison."
"Product with SKU %1 not found in catalog","Le produit portant la REF %1 est introuvable dans le catalogue"
"Street: street1, Postcode: 12345","Rue : Rue1, code postal : 12345"
"Validation error message","Message d'erreur de validation"
"exception message","message d’exception"
"Order Placed From Quote","Commande passée à partir d'un devis"
Comments,Commentaires
"Request Declined. Reason: ","Demande refusée. Raison : "
"Created By","Créé Par"
rate,taux
Expires,Expire
"Company Admin Email","Email de l'administrateur de la société"
Seller,Vendeur
"Catalog Price","Prix catalogue"
"History Log","Journal historique"
"Add your comment","Ajoutez votre commentaire"
"Attach file","Joindre un fichier"
"Quote & Account Information","Informations de devis et compte"
"Quote # %1","Devis n° %1"
"Edit Company","Modifier une société"
"Sales Rep",Représentant
"Add Product By SKU","Ajouter un produit par REF"
"Name & SKU","Nom et REF"
"Cart Price","Prix du panier"
"Recalculate Quote","Recalculer le devis"
"Update Prices","Mettre à jour des prix"
"Delete Action","Action de suppression"
"The quote list has changed. Please update the negotiated price.","La liste de devis a changé. Veuillez mettre à jour le prix négocié."
Negotiation,Négociation
"Quote Totals","Totaux du devis"
"Shipping Methods & Price","Mode de livraison et prix"
"Sorry, rates are not available for this quote.","Désolé, les taux ne sont pas disponibles pour ce devis."
"You have no shipping address for this quote.","Vous n’avez aucune adresse de livraison pour ce devis."
"Proposed Shipping Price","Prix de livraison proposé"
"Click to change shipping method","Cliquer pour changer le mode de livraison"
"Sorry, rates are not available for this quote..","Désolé, les taux ne sont pas disponibles pour ce devis.."
"Get shipping methods and rates","Obtenir les modes de livraison et les taux"
"Enter SKU","Saisir une REF"
"The negotiated price cannot be higher than the catalog total price.","Le prix négocié ne peut être supérieur au prix total du catalogue."
"Negotiated Price cannot be less than 0","Le prix négocié ne peut être inférieur à 0"
"Products Not Added to the Quote","Produits non ajoutés au devis"
"Add Products to Quote","Ajouter des produits à un devis"
(Updated),"(Mis à jour)"
(Added),(Ajouté)
"Shipping address","Adresse de livraison"
"Proposed shipping price","Prix de livraison proposé"
"Shipping method","Mode de livraison"
removed,supprimé
" - removed"," - supprimé"
"Request a Quote","Demander un devis"
"Quote name","Nom du devis"
"Send Request","Envoyer la demande"
"Order Placed From Quote:","Commande passée à partir d'un devis :"
"Cannot Open the Quote","Impossible d'ouvrir le devis"
"This quote cannot be viewed at the current website. Would you like to navigate to the website where you created this quote?","Ce devis ne peut pas être consulté sur le site Web actuel. Souhaitez-vous accéder au site Web sur lequel vous avez créé ce devis ?"
"Show My Orders","Afficher mes commandes"
"Show All Orders","Afficher toutes les commandes"
Merge,Fusionner
"Quote Comments","Commentaires du devis"
Created:,"Créé :"
Expires:,"Expire le :"
"Sales Rep.:",Représentant :
"Select Existing Address","Choisissez une adresse existante"
"No shipping information available","Aucune information de livraison disponible"
"Select a shipping address from your address book.","Sélectionnez une adresse de livraison de votre carnet d’adresses."
"Send for Review","Envoyer pour vérification"
"Close quote","Fermer un devis"
"Quote Items","Articles du devis"
"No shipping information available.","Aucune information de livraison disponible."
"Your quote number is: %1.","Votre numéro de devis est : %1."
"The quote has been sent to the merchant.","Le devis a été envoyée au vendeur."
"Dear %merchant_name,","Cher/ère %merchant_name,"
"New quote ","Nouveau devis "
" submitted by buyer"," soumis par l’acheteur"
"Thank you,","Merci,"
"Dear %customer_name,","Cher/ère %customer_name,"
"Your quote ","Votre devis "
" has been declined by the seller."," a été refusé par le vendeur."
"Reason: %reason.","Raison : %reason."
" expires on "," expire le "
" after which time you can’t order the items in the quote. After the expiration,
    you’ll have to negotiate the price with the seller again."," passé ce délai, vous ne pourrez plus commander les articles du devis. Après l'expiration,
     vous devrez de nouveau négocier le prix avec le vendeur."
"Dear %merchantName,","Cher/ère %merchantName,"
"The quote ","Le devis "
" after which time it will be reset to its default expiration period. To extend the
    lifetime of the quote, update its expiration date."," après quoi il sera réinitialisé à sa période d'expiration par défaut. Pour étendre la
     durée de vie du devis, mettez à jour sa date d'expiration."
"Expiration date for the Quote %quoteName has been reset so you can keep working on the quote.
    You can set a new expiration date if you wish.","La date d'expiration du devis %quoteName a été réinitialisée afin que vous puissiez continuer à travailler sur le devis.
     Vous pouvez définir une nouvelle date d'expiration si vous le souhaitez."
"Quote ","Devis "
" updated by buyer"," mis à jour par l’acheteur"
"The seller responded to your quote ","Le vendeur a répondu à votre devis "
"The Quote expires after ","Le devis expire après "
"Item in Quote","Article dans le devis"
"Items in Quote","Articles dans le devis"
"Cancel coupon","Annuler le bon de réduction"
"Update Catalog Prices","Mettre à jour les prix catalogue"
"If you proceed, catalog prices and cart discounts on this quote will be updated as per the latest changes in the catalog and the price rules.","Si vous continuez, les prix du catalogue et les remises sur ce devis seront mis à jour conformément aux dernières modifications apportées au catalogue et aux règles de tarification."
"Please enter a number greater than 0 in this field","Veuillez saisir un nombre supérieur à 0 dans ce champ"
"Please enter a non-decimal number please","Veuillez entrer un nombre entier"
"Maximum length of the message is ","La longueur maximale du message est "
"Decline Quote?","Refuser le devis ?"
"If you click [Confirm], all custom pricing from the selected quotes will be removed. The buyers will be able to place orders using their standard catalog prices.","Si vous cliquez sur [Confirmer], tous les prix personnalisés des devis sélectionnés seront supprimés. Les acheteurs seront en mesure de passer des commandes en utilisant leurs prix catalogue standards."
"Decline Quotes?","Refuser les devis ?"
"Cannot Decline the Selected Quotes","Impossible de refuser les devis sélectionnés"
"Only the quotes that are currently in status 'Open' can be declined","Seuls les devis qui ont actuellement le statut «Ouvert» peuvent être refusés"
"If you decline this quote, all custom pricing from this quote will be removed. The buyer will be able to place an order using their standard catalog prices and discounts.","Si vous refusez ce devis, tous les prix personnalisés de ce devis seront supprimés. L'acheteur pourra passer une commande en utilisant ses prix catalogue standards et ses remises."
"Your file could not be uploaded. Please try again.","Votre fichier n'a pas pu être téléchargé. Veuillez réessayer."
"You cannot attach more than ten files per comment.","Vous ne pouvez pas joindre plus de dix fichiers par commentaire."
"Cannot Upload File","Impossible de télécharger un fichier"
"Quote request rules","Règles de demande de devis"
"Coupon codes and gift cards are not allowed on quotes. Choose whether you'd like to keep the coupon code/gift card without requesting a quote, or request a quote without the coupon code/gift card.","Les codes de coupon et les cartes-cadeaux ne sont pas autorisés sur les devis. Choisissez si vous souhaitez conserver le code de coupon / la carte-cadeau sans demander de devis ou demandez un devis sans le code de coupon / la carte-cadeau."
"Go to Checkout",Commander
"The shopping cart isn't empty","Le panier n'est pas vide"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Vous avez des articles dans votre panier. Souhaitez-vous fusionner les articles de cette commande avec ceux de ce panier ou les remplacer?"
"Select Cancel to stay on the current page.","Sélectionnez Annuler pour rester sur la page actuelle."
"Are you sure you want to delete this quote?","Êtes-vous sûr de vouloir supprimer ce devis ?"
"Go to Checkout?","Commander ?"
"Enable B2B Quote","Activer un devis B2B"
"Minimum Amount","Montant minimum"
"Minimum order total for quote request.","Total de commande minimum pour demander un devis."
"Minimum Amount Message","Message du montant minimum"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Ce message apparaîtra dans le panier lorsque le sous-total (après remise) sera inférieur au montant minimum autorisé."
"Default Expiration Period","Délai d'expiration par défaut"
"This period will be used as the default expiration time period for quotes. It can be changed for any quote.","Cette période sera utilisée comme période d'expiration par défaut pour les devis. Elle peut être modifiée pour n'importe quel devis."
"Attached files","Fichiers joints"
"File formats for upload","Formats de fichier pour téléchargement"
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","Séparez chaque extension de fichier par une virgule. Les symboles spéciaux tels que les points, les astérisques, etc. ne sont pas autorisés."
"Maximum file size","Taille de fichier maximale"
"File size in MB. Note that this setting can be overridden by the server settings.","Taille du fichier en Mo. Notez que ce paramètre peut être remplacé par les paramètres du serveur."
"Updated Quote Template (to Buyer)","Modèle de devis mis à jour (à l'acheteur)"
"Declined Quote Template (to Buyer)","Modèle de devis refusé (à l'acheteur)"
"New Quote Template (to Seller)","Nouveau modèle de devis (au vendeur)"
"Updated Quote Template (to Seller)","Modèle de devis mis à jour (au vendeur)"
"Quote Expiration (in 48 hrs)","Expiration du devis (dans 48 heures)"
"Quote Expiration (in 24 hrs)","Expiration du devis (dans 24 heures)"
"Expiration Date Reset","Date d'expiration réinitialisée"
"Send Quote Email Copy To","Envoyer une copie du courriel de devis à"
"Send Quote Email Copy Method","Mode d'envoi d'une copie du courriel de devis"
"Request, Edit, Delete","Demander, modifier, supprimer"
"Checkout with quote","Commander avec devis"
"View quotes of subordinate users","Voir les devis des utilisateurs subordonnés"
"Allow Quotes","Autoriser les devis"
"Created Date","Date de création"
"Submitted By","Soumis par"
"Last Updated","Dernière modification"
"Quote Total (Base)","Total du devis (base)"
"Quote Total (Negotiated)","Total du devis (négocié)"
"Quote Name","Nom du devis"
"Quote Total","Total du devis"
"Exception occurred during quote view %s","Exception survenue lors de la vue de devis %s"
"No such public catalog entity","Aucune entité de catalogue publique de ce type"
"Shared Catalog (or Customer Group)","Catalogue partagé (ou groupe de clients)"
"No New Relic Application ID configured, cannot continue with Cron Event reporting","Aucun nouvel identifiant d'application Relic configuré, impossible de continuer avec le rapport d'événements Cron"
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.","L'intégration de New Relic nécessite l'agent newrelic-php5, qui n'est pas installé. Plus 
                        d'informations sur l'installation de l'agent sont disponibles <a target=""_blank"" href=""%1"">ici</a>."
"New Relic Reporting Section","Section de rapport New Relic"
"New Relic Reporting","Rapport New Relic"
"Enable New Relic Integration","Activer l'intégration de New Relic"
"New Relic API URL","URL d'API New Relic"
"Insights API URL","URL d'API Insights"
"Use %s to replace the account ID in the URL","Utiliser %s pour remplacer l'identifiant du compte dans l'URL"
"New Relic Account ID","Identifiant du compte New Relic"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Besoin d'un compte New Relic ? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Cliquez ici pour en obtenir un"
"New Relic Application ID","Identifiant d'application New Relic"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Cela se trouve généralement à la fin de l'URL lors de l'affichage de l'APM après ""/applications/"""
"New Relic API Key","Clé d'API New Relic"
"This is located by navigating to Events -> Deployments from the New Relic APM website","Ceci est localisé en accédant à Events -> Deployments à partir du site Web New Relic APM"
"Insights API Key","Clé d'API Insights"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Généré sous Insights dans Manage data -> API Keys -> Insert Keys"
"New Relic Application Name","Nom d'application New Relic"
"This is located by navigating to Settings from the New Relic APM website","Ceci se trouve en accédant Settings sur le site Web New Relic APM"
"Enable Cron","Activer Cron"
"Send Adminhtml and Frontend as Separate Apps","Envoyer Adminhtml et Frontend comme des Apps séparées"
"In addition to the main app (which includes all PHP execution), separate apps for adminhtml and frontend will be created. Requires New Relic Application Name to be set.","En plus de l'App principale (qui inclue le PHP), les Apps séparées pour adminhtml et frontend seront créées. Obligation de paramétrer le nom de l'application New Relic."
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Unsubscribe Selected","Désinscription sélectionnée"
"Save Newsletter","Sauvegarder la newsletter"
"Save and Resume","Sauvegarder et continuer"
"View Newsletter","Voir la newsletter"
"Edit Newsletter","Éditer la newsletter"
"Queue Information","Informations de file d'attente"
"Queue Date Start","Date de démarrage de la file"
"Subscribers From","Abonnés de"
"Newsletter Styles","Styles de newsletter"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
Resume,Reprendre
"Return HTML Version","Revenir à la version HTML"
"Save As","Sauvegarder sous"
"Edit Newsletter Template","Éditer le gabarit de newsletter"
"New Newsletter Template","Nouveau gabarit de newsletter"
"Queue Newsletter","Mettre la newsletter en file d'attente"
"We unsubscribed the people you identified.","Désinscription réussie des personnes identifiées."
"The problems you identified have been deleted.","Les problèmes que vous avez identifiés ont été supprimés."
"Newsletter Problems Report","Rapports des problèmes de newsletter"
"Newsletter Problem Reports","Rapports des problèmes de newsletter"
"Edit Queue","Éditer la file d'attente"
"Please correct the newsletter template and try again.","Corrigez le gabarit de newsletter et réessayez."
"You saved the newsletter queue.","Vous avez sauvegardé la file d'attente de newsletter."
Subscribers,Abonnés
"Please select one or more subscribers.","Sélectionnez un ou plusieurs abonnés."
"Total of %1 record(s) were deleted.","%1 enregistrement(s) ont été effacés."
"The newsletter template has been deleted.","Le gabarit de newsletter a été supprimé."
"We can't delete this template right now.","Nous ne pouvons pas supprimer ce modèle en ce moment."
"Create Newsletter Template","Créer un nouveau gabarit de newsletter"
"The newsletter template has been saved.","Le gabarit de newsletter a été sauvegardé."
"Something went wrong while saving this template.","Quelque chose s’est mal passé lors de l’enregistrement de ce gabarit."
"Something went wrong while saving your subscription.","Quelque chose s’est mal passé lors de l’enregistrement de votre inscription."
"We saved the subscription.","Inscription sauvegardée."
"We removed the subscription.","Inscription supprimée."
"Your subscription has been confirmed.","Votre inscription a été confirmée."
"This is an invalid subscription confirmation code.","Code de confirmation d'inscription invalide."
"This is an invalid subscription ID.","ID d'inscription invalide."
"This email address is already assigned to another user.","Cet email est déjà assigné à un utilisateur."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","L'inscription n'est pas autorisée aux invités. Veuillez <a href=""%1"">créer un compte</a>."
"This email address is already subscribed.","Cette adresse e-mail est déjà abonnée."
"The confirmation request has been sent.","Un e-mail de confirmation a été envoyé."
"Thank you for your subscription.","Merci de votre inscription."
"There was a problem with the subscription: %1","Il y a eu un problème lors de l'inscription : %1"
"Something went wrong with the subscription.","Il y a eu une erreur lors de l'inscription."
"You unsubscribed.","Vous êtes désinscrit."
"Something went wrong while unsubscribing you.","Une erreur s'est produite lors de votre désinscription."
Cancelled,Annulé
"There are no subscribers selected.","Aucun abonné sélectionné."
"You selected an invalid queue.","Vous avez sélectionné une file d’attente non valide."
"We cannot mark as received subscriber.","Nous ne pouvons pas marquer comme étant reçu par l'abonné."
"Duplicate template code","Dupliquer le code du gabarit"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Cliquez sur ce lien pour vous désinscrire <!-- Sert au lien de désinscription --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Choisir la vue magasin :"
"Newsletter Message Preview","Prévisualisation du message de la newsletter"
"Add to Queue","Ajouter à la file"
"Are you sure that you want to strip all tags?","Êtes-vous sûr(e) de vouloir supprimer tous les tags ?"
"Please enter a new template name.","Saisissez un nouveau nom de gabarit."
" Copy"," Copie"
"Sign Up for Our Newsletter:","Inscription à notre newsletter :"
"Enter your email address","Saisissez votre email"
Subscribe,Inscription
"Newsletter subscription confirmation","Confirmation de l'abonnement à la newsletter"
"Thank you for subscribing to our newsletter.","Merci de vous être abonné à notre newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Pour commencer à recevoir la newsletter, vous devez d’abord confirmer votre abonnement en cliquant sur le lien suivant :"
"Newsletter subscription success","Abonnement à la newsletter réussi"
"You have been successfully subscribed to our newsletter.","Vous avez bien été inscrit à la newsletter."
"Newsletter unsubscription success","Désabonnement de la newsletter réussi"
"You have been unsubscribed from the newsletter.","Vous êtes bien désinscrit de la newsletter."
"Newsletter Template","Gabarit de newsletter"
"Newsletter Section","Abonnement à la newsletter"
"Subscription Options","Options d'inscription"
"Allow Guest Subscription","Autoriser l'inscription des invités"
"Need to Confirm","Confirmation nécessaire"
"Confirmation Email Sender","Expéditeur du mail de confirmation"
"Confirmation Email Template","Gabarit du mail de confirmation"
"Success Email Sender","Expéditeur du mail de succès"
"Success Email Template","Gabarit du mail de succès"
"Unsubscription Email Sender","Expéditeur du mail de désinscription"
"Unsubscription Email Template","Gabarit du mail de désinscription"
"We found no problems.","Nous n'avons trouvé aucun problème."
Subscriber,Abonné
"Queue Start Date","Date de début de file d’attente"
"Queue Subject","Sujet de la file"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Queue Start","Début de la file"
"Queue End","Fin de la file d’attente"
Processed,Terminé
Recipients,Destinataires
Unsubscribe,Désabonner
"Customer First Name","Prénom du client"
"Customer Last Name","Nom de famille du client"
"Not Activated","Non activé"
Subscribed,Inscrit
Unsubscribed,Désinscrit
Unconfirmed,"Non confirmé"
"Newsletter Subscriptions","Abonnements à la newsletter"
"We have saved your subscription.","Nous avons sauvegardé votre inscription."
"A confirmation request has been sent.","Une demande de confirmation a été envoyé."
"We have removed your newsletter subscription.","Nous vous avons retiré des abonnés à la newsletter."
"We have updated your subscription.","Nous avons mis à jour votre inscription."
"Make Check payable to:","Libeller le chèque à l'ordre de :"
"Send Check to:","Envoyer le chèque à :"
"Make Check payable to: %1","Chèque libellé à l’ordre de : %1"
"Make Check payable to","Chèque libellé à l’ordre de"
"Send Check to","Envoyer le chèque à"
"Check / Money Order","Chèque / Liquide"
"Make Check Payable to","Libeller le chèque à l'ordre de"
"Bank Transfer Payment","Paiement par virement bancaire"
"Cash On Delivery Payment","Paiement en espèces à la livraison"
"Zero Subtotal Checkout","Règlement d'un sous-total nul"
"Automatically Invoice All Items","Facturer automatiquement tous les articles"
"Purchase order number is a required field.","Numéro de bon de commande est un champ obligatoire."
"Shipping Price","Tarif de livraison"
"Export CSV","Exporter en CSV"
"Store Pickup","Retrait en magasin"
"Weight vs. Destination","Poids par destination"
"Price vs. Destination","Prix par destination"
"# of Items vs. Destination","Nombre d'articles par destination"
"Weight (and above)","Poids (et au-delà)"
"Order Subtotal (and above)","Sous-total de la commande (et au-delà)"
"# of Items (and above)","Nombre d'articles (et au-delà)"
"Please correct Table Rate code type: %1.","Veuillez corriger le type de code de taux de table : %1."
"Please correct Table Rate code for type %1: %2.","Veuillez corriger le code de taux de table pour le type %1: %2."
"Per Order","Par commande"
"Per Item","Par article"
"Unable to import data","Impossible d'importer les données"
